ISO-NE Name,Location,FLP Asset Name,Reporting Group,Operation Type,PNode ID
NORTHFIELD MOUNTAIN PUMP 1,AR.NORTHFLD13.8NFD1P,Northfield Mountain,Northfield,Pumping,14224
NORTHFIELD MOUNTAIN PUMP 2,AR.NORTHFLD13.8NFD2P,Northfield Mountain,Northfield,Pumping,14225
NORTHFIELD MOUNTAIN PUMP 3,AR.NORTHFLD13.8NFD3P,Northfield Mountain,Northfield,Pumping,14226
NORTHFIELD MOUNTAIN PUMP 4,AR.NORTHFLD13.8NFD4P,Northfield Mountain,Northfield,Pumping,14227
ROCKY RIVER PUMP 1-2,AR.ROCKY_RV13.8ROCKP,Rocky River,CT - Hou,Pumping,11764
BULLS BRIDGE,UN.BULLSBDG27.6BULL,Bulls Bridge,CT - Hou,Generation,362
FALLS VILLAGE,UN.FALSVL  69  FALS,Falls Village,CT - Hou,Generation,412
CABOT,UN.MONTAGUE13.8CABT,Cabot,Cabot / TF,Generation,14801
TURNERSFALLS,UN.MONTAGUE13.8TURN,Turners Falls,Cabot / TF,Generation,14808
NORTHFIELD MOUNTAIN 1,UN.NORTHFLD13.8NFD1,Northfield Mountain,Northfield,Generation,14217
NORTHFIELD MOUNTAIN 2,UN.NORTHFLD13.8NFD2,Northfield Mountain,Northfield,Generation,14218
NORTHFIELD MOUNTAIN 3,UN.NORTHFLD13.8NFD3,Northfield Mountain,Northfield,Generation,14219
NORTHFIELD MOUNTAIN 4,UN.NORTHFLD13.8NFD4,Northfield Mountain,Northfield,Generation,14220
ROCKY RIVER,UN.ROCKY_RV13.8ROCK,Rocky River,CT - Hou,Generation,739
SHEPAUG,UN.SHEPAUG 69  SHEP,Shepaug,CT - Hou,Generation,566
STEVENSON,UN.STEVENSN6.9 STEV,Stevenson,CT - Hou,Generation,587
TUNNEL 10,UN.TUNNEL  23.0TUNN,Tunnel Hydro,CT - East,Generation,596
NORTHFIELD SOLAR,LD.FRENCHKG13.8,Northfield Solar,Northfield,Generation,4511
ROBERTSVILLE,LD.CANTON  23,Robertsville,CT - East,Generation,4566
SCOTLAND_TAFTVILLE,LD.TUNNEL  23.0,Scotland-Taftville,CT - East,Generation,4559
TUNNEL 10,UN.TUNNEL  23  TUNN,Tunnel Hydro,CT - East,Generation,596
SCOTLAND_TAFTVILLE,LD.TUNNEL  23  ,Scotland-Taftville,CT - East,Generation,4559
